Unnamed: 0.1,Unnamed: 0,docid,text_data,dupe_count,label
1949,2925098,21817232,"Please do not eliminate Title II Net Neutrality because this is the only way to enforce a free and open Internet. And since 47,000 complaints of Net Neutality harm is is being withheld from the public since 2015, we can t rely on protection from big Telecom to keep a free and open Internet. I am asking the FCC to do the right thing and keep Title II in place.",-1.0,0
297,823396,2748757,"Dear Mr. Pai, I'm a voter worried about the Obama takeover of the Internet. I would like to urge Chairman Pai to rescind President Obama's power grab to take over Internet access. Individual citizens, not big government, should be able to select the services they prefer. President Obama's power grab to take over Internet access is a betrayal of net neutrality. It reversed a free market framework that functioned fabulously successfully for many years with bipartisan backing.",1.0,1
2334,2372971,9042813,I don't want people losing access to the sites were our voices are heard. I don't want small businesses and self employed freelancers losing their work because their websites were too small to be protected.,-1.0,0
872,1181038,3283642,"Chairman Pai, I would like to comment on Internet freedom. I strongly encourage the commission to overturn The previous administration's plan to control broadband. Americans, rather than the FCC, should select which services we want. The previous administration's plan to control broadband is a betrayal of the open Internet. It undid a market based approach that performed exceptionally successfully for decades with broad bipartisan consensus.",1.0,1
323,1279652,3382259,"My comments re, Internet regulation. I want to suggest Chairman Pai to undo Tom Wheeler's decision to control the web. Individual citizens, rather than Washington bureaucrats, should be free to select whichever products they want. Tom Wheeler's decision to control the web is a exploitation of the open Internet. It ended a pro consumer policy that functioned very, very smoothly for many years with broad bipartisan approval.",1.0,1
2029,837668,2763036,"Mr Pai, I would like to comment on Internet regulation. I would like to request the commission to undo Tom Wheeler's plan to take over Internet access. Individual citizens, as opposed to Washington bureaucrats, should be free to purchase whichever services they prefer. Tom Wheeler's plan to take over Internet access is a distortion of the open Internet. It undid a light touch policy that functioned exceptionally successfully for decades with bipartisan backing.",1.0,1
852,1289606,3392216,"Mr Pai, I have thoughts on restoring Internet freedom. I want to demand the government to undo Barack Obama's power grab to control Internet access. Americans, as opposed to big government, deserve to buy whichever applications we desire. Barack Obama's power grab to control Internet access is a exploitation of net neutrality. It undid a light touch framework that worked fabulously smoothly for decades with both parties' approval.",1.0,1
324,1372845,3878958,"FCC, I'm contacting you about the FCC's so called Open Internet order. I strongly implore the government to rescind President Obama's plan to control the web. Individual citizens, as opposed to Washington, should select the products they prefer. President Obama's plan to control the web is a perversion of the open Internet. It ended a free market system that worked exceptionally smoothly for many years with broad bipartisan approval.",1.0,1
1554,408755,1128151,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet fast lanes by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. I urge you to keep Title II net neutrality in place, and safeguard Internet users like me. Sincerely, Antonio T Green",1.0,1
2211,1009401,2934803,"Chairman Pai, I'm concerned about Network Neutrality. I would like to urge the FCC to reverse Tom Wheeler's power grab to take over broadband. Individuals, as opposed to Washington, should be free to use which products they desire. Tom Wheeler's power grab to take over broadband is a perversion of net neutrality. It undid a light touch approach that functioned very well for many years with both parties' consensus.",1.0,1
