,Unnamed: 0,docid,text_data,dupe_count
0,825184,2750545,"FCC commissioners,  In reference to the FCC's so-called Open Internet order. I strongly suggest the government to reverse The Obama/Wheeler policy to regulate broadband. People like me, as opposed to Washington, should be empowered to enjoy the services they want. The Obama/Wheeler policy to regulate broadband is a perversion of the open Internet. It disrupted a market-based approach that functioned remarkably smoothly for a long time with nearly universal approval.",1.0
2,1159685,3262289,"Dear Mr. Pai,  I want to give my opinion on NET NEUTRALITY. I strongly encourage the commission to rescind The Obama/Wheeler plan to regulate the web. People like me, not unelected bureaucrats, should buy whichever services we want. The Obama/Wheeler plan to regulate the web is a exploitation  of net neutrality. It ended a hands-off approach that worked very successfully for decades with broad bipartisan backing.",1.0
3,744032,2669385,"FCC commissioners,  Regarding Title II rules. I'd like to urge the government to reverse Barack Obama's policy to regulate the web. Internet users, not unelected bureaucrats, should be able to purchase whatever products we prefer. Barack Obama's policy to regulate the web is a betrayal of the open Internet. It ended a free-market approach that performed fabulously smoothly for many years with nearly universal backing.",1.0
4,1505203,4533699,"Dear Chairman Pai,  Hi, I'd like to comment on Net Neutrality and Title II. I encourage the FCC to rescind Tom Wheeler's order to regulate the Internet. Americans, as opposed to Washington bureaucrats, should be able to enjoy whichever products they desire. Tom Wheeler's order to regulate the Internet is a perversion of the open Internet. It stopped a free-market system that performed very, very successfully for a long time with broad bipartisan backing.",1.0
7,1356698,3525254,"The FCC should safeguard Internet freedom by keeping the bright-line net neutrality protections in place and upholding Title II. 

The FCC should reject Chairman Ajit Pai’s plan to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping consumers of the necessary privacy and access protections we worked for and won just two years ago. 

I’m worried about creating a tiered Internet with “fast lanes” for certain sites or services because ISPs could have too much power to determine what I can do online. Thankfully, the current FCC regulations mean that Internet providers can’t slow or block users’ access to certain web services or create Internet “fast lanes” by charging online services and websites more money to reach consumers faster. That’s the best way forward to make sure competition in the Internet space is fair and benefits consumers and small businesses as well as entrenched Internet companies. Pai’s proposed repeal of the rules would help turn Internet providers into gatekeepers with the ability to veto new innovation and expression. That’s contrary to the basic precepts on which the Internet was built. 

You know that diluting net neutrality is bullshit.  Stop it; do your job; favor the public good, rather than private profit. 

Thank you for keeping Title II net neutrality rules in place to protect Internet users like me.",1.0
8,753650,2679003,"To the Federal Communications Commission:  Hi, I'd like to comment on the FCC's Open Internet order. I want to request the FCC to repeal Barack Obama's decision to regulate Internet access. Citizens, not Washington bureaucrats, should be able to buy whichever products they want. Barack Obama's decision to regulate Internet access is a betrayal of the open Internet. It disrupted a light-touch approach that worked fabulously successfully for decades with bipartisan backing.",1.0
10,796457,2721818,"Chairman Pai:  Hi, I'd like to comment on the Obama takeover of the Internet. I urge Ajit Pai to undo President Obama's power grab to control Internet access. Internet users, not the FCC, ought to use whichever services we prefer. President Obama's power grab to control Internet access is a exploitation  of the open Internet. It reversed a pro-consumer policy that functioned fabulously well for many years with broad bipartisan approval.",1.0
14,1487630,4455436,"To the FCC:  I would like to comment on Internet freedom. I'd like to implore Chairman Pai to rescind President Obama's decision to regulate Internet access. Citizens, as opposed to Washington, should be able to buy whatever services we want. President Obama's decision to regulate Internet access is a betrayal of net neutrality. It broke a pro-consumer policy that functioned remarkably well for a long time with Republican and Democrat support.",1.0
15,667973,2454892,"Dear Chairman Pai,  I would like to comment on an open Internet. I want to implore the government to reverse Barack Obama's power grab to take over broadband. Internet users, as opposed to unelected bureaucrats, ought to select whichever products they choose. Barack Obama's power grab to take over broadband is a exploitation  of net neutrality. It ended a hands-off framework that worked exceptionally well for many years with nearly universal approval.",1.0
17,396781,1110992,"As an Internet user, I'm asking the FCC to protect the net neutrality protections currently in place. 

The FCC should throw out Chairman Ajit Pai's proposal to give the ISP monopolies like Comcast, AT&T, and Verizon the authority to create Internet fast lanes, stripping Internet users of the meaningful access and privacy protections we fought for and just recently won. 

I'm concerned about ISPs being allowed to discriminate against certain types of data or websites, because users will have fewer options and a less diverse Internet. Thankfully, the current net neutrality rules ensure that Internet providers can't slow or block our ability to see certain websites or create Internet ""fast lanes"" by charging websites and online service money to reach customers faster. That's exactly the right balance to ensure the Internet remains a level playing field that benefits small businesses and Internet users as well as larger players. Pai's proposed repeal of the rules would transform ISPs into Internet gatekeepers with an effective veto right on innovation and expression. That's not the kind of Internet we want to pass on to future generations of technology users. 

I urge you to keep Title II net neutrality in place, and safeguard Internet users like me.

Sincerely,
William Winston",1.0
