,Unnamed: 0,docid,text_data,dupe_count
1,46077,113555,Preserve net neutrality and Title II. I specifically support strong net neutrality backed by Title II oversight of ISPs.  I can't even begin to tell you how bad of an idea removing these regulations would be. Please stop giving the media moguls and millionaires all the power. I don't want to have to end up being monopolized into specific services. Please stop with this campaign!,-1.0
5,2883617,13904066,"I am in favor of strong net neutrality under Title II of the Telecommunications Act.


Sincerely,
Thomas Gingerich",-1.0
6,57470,134846,I support strong net neutrality. Please restore internet freedom,-1.0
9,2910475,21796163,Leave our net neutrality alone..,-1.0
11,1985933,7678230,Keep the internet neutral! Letting private companies block citizens from viewing content is unjust and goes against the fundamentals of the United States.,-1.0
12,380109,1084035,Do not remove ISPs from Title II. There are enough peering games being played now with competing traffic that to completely remove any neutrality standards would turn control of internet content to the highest bidder which will inevitably negatively impact internet innovation and creativity.,-1.0
13,485271,1776633,I strongly support the the current Title II safeguards for net neutrality.,-1.0
16,1089347,3135576,do not amend the current rules that place ISPs under title II that regulates these entities as utilities.,-1.0
18,46943,116446,"I would like to have stronger net neutrality and title 2 oversight of ISP's because it is important to have more freedom on the net!
thank you

iohan",-1.0
21,196287,363108,"Please preserve net neutrality by maintaining title 2 oversight of ISPs.  This insures equal access of information, sites, streaming programming, and gives smaller businesses and ventures a more even playing field in alignment with US values of equality of treatment under the law and equality of access to all.
Thank you.",-1.0
22,442939,1177752,I am a strong advocate of net neutrality and need to express my outrage for any new regulations or lack there of regarding the rules of net neutrality.,-1.0
23,505847,2051951,"Please retain ISPs under TITLE II designation. Better yet, make them a public utility as they are designated as such by the United Nations.",-1.0
25,1853266,7374262,"I work in the technology field for a small company. We greatly enjoy having Internet traffic be open and free; we rely on the Internet for nearly everything we do. To our small business, the increased cost and overhead of Internet services would be a huge detriment. 

Internet providers already nearly have a monopoly on certain market - in the area where I live, for example, there are really only one or two options for high-speed Internet service. From the time of the railroads, monopolies have always used their power to enrich themselves, and given precedence to their own interests. 

ISPs have become a type of ""common carrier"" of our digital information. One of the benefits of this is that they are not responsible for the information they transmit (so they cannot be prosecuted for the transmission of illicit materials, for example), but in exchange the government has always had the responsibility of making sure that they give everyone a level playing field by treating all traffic equally. I don't understand why a government agency, charged with regulating interstate and international communications, would consider stripping the rules that lubricate the continued transmission of information. 

I hope you will consider keeping rules in place that support net neutrality, requiring all traffic on the Internet to be treated equally. In fact, I hope that you will go beyond that and support bringing the United States into the modern era of communications by encouraging or requiring high-speed optical cable from our companies, something common in South Korea and other highly developed nations, as well as other improvements to our infrastructure and current system. 

Thank you for your time.",-1.0
